0:   r: 191   g: 114   b: 185   r: 64   g: 251   b: 252   r: 49   g: 162   b: 251   az: 253.53   cl: 29.53
1:   r: 14   g: 92   b: 118   r: 186   g: 235   b: 215   r: 97   g: 5   b: 115   az: 86.95   cl: 55.15
2:   r: 189   g: 76   b: 51   r: 147   g: 132   b: 111   r: 240   g: 144   b: 3   az: 40.24   cl: 26.08
3:   r: 230   g: 234   b: 203   r: 17   g: 201   b: 68   r: 248   g: 119   b: 252   az: 177.25   cl: 41.6
4:   r: 36   g: 153   b: 102   r: 102   g: 73   b: 251   r: 219   g: 239   b: 6   az: 198.24   cl: 20.97
5:   r: 44   g: 53   b: 105   r: 35   g: 113   b: 98   r: 178   g: 188   b: 92   az: 150.67   cl: 13.05
6:   r: 239   g: 43   b: 118   r: 13   g: 237   b: 15   r: 97   g: 21   b: 197   az: 174.87   cl: 48.11
7:   r: 214   g: 166   b: 154   r: 157   g: 161   b: 139   r: 163   g: 211   b: 78   az: 197.39   cl: 13.37
8:   r: 123   g: 160   b: 3   r: 207   g: 33   b: 160   r: 36   g: 94   b: 11   az: 53.83   cl: 24.01
9:   r: 66   g: 144   b: 22   r: 221   g: 215   b: 147   r: 70   g: 204   b: 96   az: 114.24   cl: 68.65
10:   r: 17   g: 25   b: 251   r: 126   g: 130   b: 125   r: 130   g: 192   b: 230   az: 216.0   cl: 30.43
11:   r: 37   g: 134   b: 194   r: 139   g: 214   b: 119   r: 92   g: 80   b: 140   az: 30.68   cl: 6.29
12:   r: 232   g: 173   b: 220   r: 220   g: 151   b: 119   r: 102   g: 169   b: 176   az: 67.21   cl: 87.04
13:   r: 172   g: 23   b: 196   r: 156   g: 235   b: 5   r: 4   g: 70   b: 36   az: 191.28   cl: 21.56
14:   r: 79   g: 224   b: 116   r: 176   g: 50   b: 49   r: 255   g: 112   b: 151   az: 221.83   cl: 33.41
15:   r: 143   g: 92   b: 74   r: 115   g: 26   b: 213   r: 38   g: 180   b: 161   az: 139.32   cl: 71.63
16:   r: 120   g: 123   b: 225   r: 9   g: 219   b: 146   r: 94   g: 212   b: 12   az: 95.27   cl: 86.98
17:   r: 193   g: 184   b: 21   r: 184   g: 105   b: 214   r: 24   g: 136   b: 97   az: 53.11   cl: 37.47
18:   r: 35   g: 130   b: 175   r: 199   g: 39   b: 188   r: 171   g: 23   b: 217   az: 234.9   cl: 1.37
19:   r: 251   g: 29   b: 37   r: 241   g: 1   b: 45   r: 100   g: 57   b: 2   az: 179.12   cl: 69.97
