0:   az: 92.43   cl: 95.38
1:   az: 81.07   cl: 61.3
2:   az: 115.8   cl: 83.52
3:   az: 239.17   cl: 10.29
4:   az: 239.17   cl: 6.22
5:   az: 239.17   cl: 70.09
6:   az: 79.84   cl: 60.79
7:   az: 130.17   cl: 7.55
8:   az: 213.22   cl: 48.99
9:   az: 79.83   cl: 95.63
10:   az: 133.55   cl: 6.21
11:   az: 232.33   cl: 59.78
12:   az: 232.55   cl: 59.87
13:   az: 213.22   cl: 46.38
14:   az: 223.76   cl: 7.55
15:   az: 35.72   cl: 26.28
16:   az: 130.0   cl: 59.78
17:   az: 235.88   cl: 79.83
18:   az: 232.31   cl: 59.78
19:   az: 239.19   cl: 76.27
